1,미닛메이드,DelMonteOrange,"<font color=""#FF00FF"">GrandMaster</font>",86216,"<font color=""#0000FF"">67.91%</font>",6073,"<font color=""#CC2EFA"">70.85%</font>",10823,CAMMY,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-18</font>",●
2,장테,kortazang,"<font color=""#FF00FF"">GrandMaster</font>",73120,"<font color=""#CC2EFA"">71.34%</font>",7596,"<font color=""#CC2EFA"">70.49%</font>",9956,ZANGIEF,"<font color=""#CC9933"">Red_Pants</font>","<font color=""#000000"">2018-10-17</font>",●
3,치킨,IIDX_CHIKEN_PS4,"<font color=""#FF00FF"">GrandMaster</font>",61183,"<font color=""#0000FF"">65.94%</font>",3673,"<font color=""#0000FF"">65.35%</font>",3962,MENAT,"<font color=""#CC9933"">InSu-Dan</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
4,암핏,armpitplay,"<font color=""#FF00FF"">GrandMaster</font>",51594,"<font color=""#0000FF"">67.60%</font>",28279,"<font color=""#12B512"">64.78%</font>",41881,KEN,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-18</font>",●
5,씨름맨,KR_WrestlingMan,"<font color=""#FF00FF"">GrandMaster</font>",35273,"<font color=""#0000FF"">65.78%</font>",5088,"<font color=""#12B512"">63.16%</font>",10271,R.MIKA,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-06</font>","<font color=""#3399FF"">●</font>"
6,,information,"<font color=""#FF00FF"">GrandMaster</font>",35243,"<font color=""#0000FF"">65.55%</font>",4854,"<font color=""#000000"">59.22%</font>",18479,DICTATOR,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-14</font>",●
7,동동,MnR-DongDong2,"<font color=""#FF00FF"">GrandMaster</font>",35028,"<font color=""#12B512"">63.63%</font>",3885,"<font color=""#12B512"">64.39%</font>",9401,IBUKI,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-06</font>",●
8,린보찡,rinbo7-pc,"<font color=""#FF6600"">Master</font>",30033,"<font color=""#12B512"">63.74%</font>",2016,"<font color=""#0000FF"">67.67%</font>",6025,GUILE,"<font color=""#CC9933"">SilverTown</font>","<font color=""#000000"">2018-10-17</font>",●
9,콩티렉스,kongtrex,"<font color=""#FF6600"">Master</font>",30021,"<font color=""#12B512"">64.79%</font>",2025,"<font color=""#CC2EFA"">77.18%</font>",21018,DICTATOR,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
10,효원이아빠,HyoWonDaddy,"<font color=""#00CED1"">UltraDiamond</font>",27288,"<font color=""#000000"">47.92%</font>",8736,"<font color=""#000000"">49.96%</font>",19735,GUILE,"<font color=""#CC9933"">HyoWon</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
11,갑니PR,GubniPR,"<font color=""#00CED1"">UltraDiamond</font>",25506,"<font color=""#000000"">47.94%</font>",7484,"<font color=""#000000"">49.34%</font>",10759,GOUKI,"<font color=""#CC9933"">TeamDPS</font>","<font color=""#000000"">2018-10-13</font>",●
